id,focus,signal,slack,drag,confidence,score,lane,kind,invariant
g001,quorum health,102,28,41,55,82,hold,baseline,monotonic-signal
g002,lease drift,117,23,25,89,221,ship,edge,drag-penalty
g003,replica lag,40,23,19,26,34,hold,recovery,confidence-floor
g004,membership churn,93,60,17,41,202,ship,negative,lane-boundary
g005,quorum health,35,11,39,96,-18,hold,baseline,monotonic-signal
g006,lease drift,53,24,9,85,170,watch,edge,drag-penalty
g007,replica lag,110,33,17,41,209,ship,recovery,confidence-floor
g008,membership churn,54,75,43,23,-9,hold,negative,lane-boundary
g009,quorum health,117,29,37,62,140,watch,baseline,monotonic-signal
g010,lease drift,108,43,35,86,170,watch,edge,drag-penalty
g011,replica lag,63,53,15,59,163,watch,recovery,confidence-floor
g012,membership churn,88,25,6,50,221,ship,negative,lane-boundary
g013,quorum health,60,49,10,93,212,ship,baseline,monotonic-signal
g014,lease drift,94,63,7,76,292,ship,edge,drag-penalty
g015,replica lag,114,73,28,72,233,ship,recovery,confidence-floor
g016,membership churn,84,45,19,32,150,watch,negative,lane-boundary
g017,quorum health,72,69,37,102,130,watch,baseline,monotonic-signal
g018,lease drift,114,48,5,56,307,ship,edge,drag-penalty
g019,replica lag,94,40,12,80,248,ship,recovery,confidence-floor
g020,membership churn,88,39,38,54,79,hold,negative,lane-boundary
g021,quorum health,88,41,31,88,150,watch,baseline,monotonic-signal
g022,lease drift,92,9,8,25,178,watch,edge,drag-penalty
g023,replica lag,97,66,19,40,205,ship,recovery,confidence-floor
g024,membership churn,59,62,26,95,145,watch,negative,lane-boundary
g025,quorum health,88,14,10,84,224,ship,baseline,monotonic-signal
g026,lease drift,62,41,4,40,185,watch,edge,drag-penalty
g027,replica lag,96,22,44,22,16,hold,recovery,confidence-floor
g028,membership churn,117,15,24,61,190,ship,negative,lane-boundary
g029,quorum health,43,49,36,85,40,hold,baseline,monotonic-signal
g030,lease drift,53,33,44,58,-23,hold,edge,drag-penalty
g031,replica lag,62,28,28,49,61,hold,recovery,confidence-floor
g032,membership churn,55,28,22,92,120,hold,negative,lane-boundary
g033,quorum health,70,65,20,75,180,watch,baseline,monotonic-signal
g034,lease drift,81,16,42,71,39,hold,edge,drag-penalty
g035,replica lag,46,29,33,31,-13,hold,recovery,confidence-floor
g036,membership churn,76,38,37,101,106,hold,negative,lane-boundary
g037,quorum health,94,10,34,55,83,hold,baseline,monotonic-signal
g038,lease drift,63,34,13,79,174,watch,edge,drag-penalty
g039,replica lag,95,48,4,53,271,ship,recovery,confidence-floor
g040,membership churn,70,58,22,87,175,watch,negative,lane-boundary
g041,quorum health,61,30,32,24,16,hold,baseline,monotonic-signal
g042,lease drift,104,54,39,39,106,hold,edge,drag-penalty
g043,replica lag,41,68,23,94,129,watch,recovery,confidence-floor
g044,membership churn,101,8,16,83,213,ship,negative,lane-boundary
g045,quorum health,47,50,35,39,8,hold,baseline,monotonic-signal
